city,avg_latitude,avg_longitude
"...Arraial Do Cabo",-22.969370,-42.029834
"* Cidade",-25.571748,-49.334374
´Teresopolis,-22.392335,-42.989392
"4º Centenario",-24.279801,-53.074723
"4O. Centenario",-24.271860,-53.069433
"Abadia De Goias",-16.767063,-49.438090
"Abadia Dos Dourados",-18.474476,-47.407837
Abadiania,-16.193742,-48.709521
Abaete,-19.158206,-45.446300
Abaetetuba,-1.723024,-48.881065
Abaiara,-7.358247,-39.045817
Abaira,-13.250612,-41.663882
Abare,-8.695826,-39.155527
Abatia,-23.304523,-50.310972
"Abdon Batista",-27.608818,-51.024885
"Abel Figueiredo",-4.953901,-48.398123
"Abelardo Luz",-26.565375,-52.325328
Abrantes,-12.830174,-38.265107
"Abre Campo",-20.297406,-42.475679
"Abreu E Lima",-7.911568,-34.912986
