category,avg_freight
"Computers",48.45
"Home_Appliances_2",44.54
"Furniture_Mattress_And_Upholstery",42.91
"Kitchen_Dining_Laundry_Garden_Furniture",42.70
"Furniture_Bedroom",42.50
"Office_Furniture",40.55
"Small_Appliances_Home_Oven_And_Coffee",36.16
"Furniture_Living_Room",35.72
"Signaling_And_Security",32.70
"Industry_Commerce_And_Business",29.42
"Luggage_Accessories",27.88
"Agro_Industry_And_Commerce",27.56
"Musical_Instruments",27.41
"Construction_Tools_Lights",24.95
"La_Cuisine",23.83
