month,total_monthly_revenue,monthly_orders
2016-09,NULL,1
2016-10,46566.71,282
2016-12,19.62,1
2017-01,127545.67,799
2017-02,271298.65,1749
2017-03,414369.39,2700
2017-04,390952.18,2436
2017-05,567066.73,3787
2017-06,490225.60,3323
2017-07,566403.93,4147
2017-08,646000.61,4393
2017-09,701169.99,4371
2017-10,751140.27,4698
2017-11,1153528.05,7593
2017-12,843199.17,5729
2018-01,1078606.86,7351
2018-02,966510.88,6776
2018-03,1120678.00,7297
2018-04,1132933.95,7067
2018-05,1128836.69,7002
2018-06,1012090.68,6350
2018-07,1027903.86,6370
2018-08,985414.28,6535
