product_id,unique_customers
99a4788cb24856965c36a24e339b6058,467
aca2eb7d00ea1a7b8ebd4e68314663af,431
422879e10f46682990de24d770e7f83d,352
d1c427060a0f73f6b889a5c7c61f2ac4,323
389d119b48cf3043d311335e499d9c6b,311
53b36df67ebb7c41585e8d54d6772e08,306
368c6c730842d78016ad823897a372db,291
53759a2ecddad2bb87a079a1f1519f73,287
154e7e31ebfa092203795c972e5804a6,269
2b4609f8948be18874494203496bc318,259
3dd2a17168ec895c781a9191c1e95ad7,255
7c1bd920dbdf22470b68bde975dd3ccf,225
5a848e4ab52fd5445cdc07aab1c40e48,194
e0d64dcfaa3b6db5c54ca298ae101d05,194
bb50f2e236e5eea0100680137654686c,187
