state,total_customers,total_sellers,total_revenue,total_orders
"SP",41746,1849,5770266.19,42309
"RJ",12852,171,2055690.45,13004
"MG",11635,244,1819277.61,11804
"RS",5466,129,861802.40,5544
"PR",5045,349,781919.55,5129
"SC",3637,190,595208.40,3661
"BA",3380,19,591270.60,3483
"DF",2140,30,346146.17,2142
"GO",2020,40,334294.22,2047
"ES",2033,23,317682.65,2068
"PE",1652,9,309074.59,1667
"CE",1336,13,266463.97,1341
"PA",975,1,212027.55,981
"MT",907,4,181441.72,909
"MA",747,1,147807.29,735
"PB",536,6,137834.65,551
"MS",715,5,134421.54,722
"PI",495,1,105272.17,504
"RN",485,5,100728.30,511
"AL",413,NULL,94195.79,411
"SE",350,2,70289.13,344
"TO",280,NULL,60007.37,295
"RO",253,2,56975.70,251
"AM",148,1,27596.18,151
"AC",81,1,19586.25,83
"AP",68,NULL,16141.81,69
"RR",46,NULL,9039.52,41
